area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Plot  Area,Ready To Move,3,6 Bedroom,GrrvaGr,1.2415647798299816,5.276775380553089,1.765851614814577,451.0,6,2.714524367804739
Plot  Area,Ready To Move,3,6 Bedroom,GrrvaGr,0.7239327050671022,5.276775380553089,1.765851614814577,450.0,6,3.838093328547946
Plot  Area,Ready To Move,3,4 Bedroom,GrrvaGr,-0.31133144445865635,1.4248698759040173,0.4991822912173319,245.0,4,4.341935911840864
Plot  Area,Ready To Move,3,4 Bedroom,GrrvaGr,-0.18192342576793655,1.4248698759040173,-0.7674870323799133,200.0,4,2.6484650068841122
Plot  Area,Ready To Move,3,4 Bedroom,GrrvaGr,-0.31133144445865635,1.4248698759040173,-0.7674870323799133,225.0,4,3.838093328547946
Plot  Area,Ready To Move,3,4 Bedroom,GrrvaGr,-0.05251540707721672,0.46189349974174937,0.4991822912173319,230.0,4,2.8052160327974645
Super built-up  Area,Ready To Move,4,2 BHK,GrrvaGr,-0.3061551237110276,-0.5010828764205185,0.4991822912173319,56.0,2,-0.4263952029300468
Super built-up  Area,Ready To Move,4,3 BHK,GrrvaGr,-0.25094103573632043,-0.5010828764205185,0.4991822912173319,70.0,3,-0.1638846706389115
Plot  Area,Ready To Move,4,4 Bedroom,GrrvaGr,-0.31133144445865635,1.4248698759040173,0.4991822912173319,205.0,4,3.3342507452550274
Super built-up  Area,Ready To Move,4,2 BHK,GrrvaGr,-0.2147067905029189,-0.5010828764205185,1.765851614814577,69.0,2,-0.24026660633832522
Built-up  Area,Ready To Move,4,6 BHK,GrrvaGr,3.053277041500059,2.3878462520662853,1.765851614814577,300.0,6,-0.05186779246355238
Super built-up  Area,Ready To Move,5,2 BHK,Mangsr ,-0.4191714600342562,-0.5010828764205185,0.4991822912173319,60.0,2,-0.14284894293505054
Built-up  Area,Ready To Move,5,2 BHK,Prenty ,-0.3544674506888963,0.46189349974174937,1.765851614814577,52.5,2,-0.4500451792602571
Super built-up  Area,18-Aug,5,2 BHK,GrrvaGr,-0.4234850606572802,-0.5010828764205185,0.4991822912173319,39.0,2,-0.7282743831184755
Built-up  Area,Ready To Move,5,2 BHK,GrrvaGr,-0.26301911748078766,-0.5010828764205185,-0.7674870323799133,62.8,2,-0.3186079836186264
Super built-up  Area,Ready To Move,5,2 BHK,GrrvaGr,-0.3052924035864228,-0.5010828764205185,0.4991822912173319,63.0,2,-0.25223601117158917
Built-up  Area,Ready To Move,5,3 BHK,Shlashi,0.14159662095886302,-0.5010828764205185,0.4991822912173319,100.0,3,-0.07763979160897017
Super built-up  Area,Ready To Move,5,2 BHK,GrrvaGr,-0.10427861455350465,-0.5010828764205185,0.4991822912173319,60.0,2,-0.5705292752650852
Super built-up  Area,Ready To Move,5,3 BHK,GrrvaGr,-0.1387874195376966,-0.5010828764205185,-0.7674870323799133,88.0,3,0.07007058063591007
Super built-up  Area,Ready To Move,5,2 BHK,Sorta S,-0.09565141330745666,-0.5010828764205185,-0.7674870323799133,58.0,2,-0.6209135335943772
Built-up  Area,Ready To Move,5,3 BHK,GrrvaGr,0.12002861784374304,-0.5010828764205185,1.765851614814577,100.0,3,-0.05186779246355238
Super built-up  Area,Ready To Move,5,3 BHK,MBncele,-0.0654562089462887,-0.5010828764205185,0.4991822912173319,67.0,3,-0.46619823529028925
Super built-up  Area,Ready To Move,5,5 BHK,GrrvaGr,0.810204717527582,2.3878462520662853,0.4991822912173319,110.0,5,-0.49999131360407684
Built-up  Area,Ready To Move,5,1 BHK,Shenshi,-0.8289635192215357,-1.4640592525827865,-0.7674870323799133,30.0,1,-0.3186079836186264
Super built-up  Area,Ready To Move,5,2 BHK,GrrvaGr,-0.1474146207837446,-0.5010828764205185,0.4991822912173319,65.0,2,-0.4164766868481861
Built-up  Area,Ready To Move,5,2 BHK,GrrvaGr,-0.26301911748078766,-0.5010828764205185,-0.7674870323799133,62.8,2,-0.3186079836186264
Super built-up  Area,Ready To Move,5,2 BHK,GrrvaGr,-0.29407704196656037,-0.5010828764205185,1.765851614814577,88.0,2,0.3504288892785266
Super built-up  Area,Ready To Move,5,2 BHK,Maodser,-0.4838754693796161,-0.5010828764205185,-2.0341563559771587,48.0,2,-0.37906909361377655
Super built-up  Area,Ready To Move,5,3 BHK,MBaleRo,-0.18192342576793655,-0.5010828764205185,-0.7674870323799133,75.0,3,-0.15066045585432045
Super built-up  Area,Ready To Move,5,1 BHK,GrrvaGr,-0.870374085202566,-1.4640592525827865,-0.7674870323799133,23.5,1,-0.543146526173079
Super built-up  Area,Ready To Move,5,2 BHK,Saisena,-0.31133144445865635,-0.5010828764205185,0.4991822912173319,51.0,2,-0.5453371461004395
Super built-up  Area,Ready To Move,5,3 BHK,GrrvaGr,-0.2768226394744644,0.46189349974174937,0.4991822912173319,60.0,3,-0.36736694329213454
Built-up  Area,Ready To Move,5,3 BHK,GrrvaGr,-0.00937940084697678,0.46189349974174937,1.765851614814577,75.0,3,-0.36736694329213454
Super built-up  Area,Ready To Move,5,3 BHK,MBncele,-0.0654562089462887,-0.5010828764205185,-0.7674870323799133,66.0,3,-0.4865555113829324
Built-up  Area,Ready To Move,5,2 BHK,Matonr ,-0.45799386564147215,-0.5010828764205185,0.4991822912173319,57.0,2,-0.15718268994225465
Super built-up  Area,Ready To Move,5,2 BHK,GrrvaGr,-0.31133144445865635,-0.5010828764205185,-0.7674870323799133,68.0,2,-0.11707095030145921
Built-up  Area,Ready To Move,5,2 BHK,Niaveha,-0.31995864570470434,-0.5010828764205185,0.4991822912173319,61.8,2,-0.2601791798418006
Super built-up  Area,Ready To Move,5,5 BHK,GrrvaGr,2.1042849044347802,2.3878462520662853,0.4991822912173319,170.0,5,-0.5453371461004395
Super built-up  Area,Ready To Move,5,2 BHK,Maodser,-0.4148578594112322,-0.5010828764205185,-0.7674870323799133,53.0,2,-0.34659923824601063
Super built-up  Area,Ready To Move,5,2 BHK,Mangsr ,-0.44850394427081935,-0.5010828764205185,0.4991822912173319,54.0,2,-0.2619801428450709
Super built-up  Area,Ready To Move,5,2 BHK,GrrvaGr,-0.6460668528053183,-0.5010828764205185,-0.7674870323799133,42.0,2,-0.26648633707108316
Built-up  Area,Ready To Move,5,2 BHK,Rewelav,-0.47524826813356813,-0.5010828764205185,0.4991822912173319,57.0,2,-0.12405490690155924
Super built-up  Area,Ready To Move,5,3 BHK,NDncysi,-0.09565141330745666,-0.5010828764205185,0.4991822912173319,73.0,3,-0.30818365430911787
Super built-up  Area,Ready To Move,5,7 BHK,GrrvaGr,0.810204717527582,5.276775380553089,1.765851614814577,95.0,7,-0.6813746435895273
Super built-up  Area,Ready To Move,5,2 BHK,Mangsr ,-0.4191714600342562,-0.5010828764205185,0.4991822912173319,60.0,2,-0.14284894293505054
Plot  Area,Ready To Move,5,4 Bedroom,GrrvaGr,0.7239327050671022,1.4248698759040173,-0.7674870323799133,228.0,4,1.0417669912722518
Super built-up  Area,Ready To Move,6,2 BHK,HMinebo,-0.31823320545549477,-0.5010828764205185,0.4991822912173319,74.0,2,0.04659335192254889
Super built-up  Area,Ready To Move,6,2 BHK,GrrvaGr,-0.3285858469507523,-0.5010828764205185,1.765851614814577,80.0,2,0.21939341888059086
Super built-up  Area,Ready To Move,6,4 BHK,GrrvaGr,1.4529312103581573,1.4248698759040173,0.4991822912173319,250.0,4,0.49887466693213245
Built-up  Area,Ready To Move,6,3 BHK,GrrvaGr,0.0725790109904791,0.46189349974174937,1.765851614814577,100.0,3,0.007587974561894889
Super built-up  Area,Ready To Move,6,2 BHK,Vador S,-0.24231383449027247,-0.5010828764205185,0.4991822912173319,56.0,2,-0.5075489523534706
Built-up  Area,Ready To Move,6,2 BHK,SNpalaj,-0.3630946519349443,-0.5010828764205185,0.4991822912173319,65.0,2,-0.10646373802160841
Super built-up  Area,Ready To Move,6,3 BHK,SGncy R,0.41335346020937463,0.46189349974174937,0.4991822912173319,200.0,3,1.1336441682256662
Super built-up  Area,Ready To Move,6,2 BHK,GrrvaGr,-0.300116082838794,-0.5010828764205185,-0.7674870323799133,63.0,2,-0.2600409562119475
Super built-up  Area,Ready To Move,6,3 BHK,GrrvaGr,-0.18192342576793655,-0.5010828764205185,0.4991822912173319,58.0,3,-0.5313415187867472
Super built-up  Area,Ready To Move,6,2 BHK,NCierar,-0.3372130481968003,-0.5010828764205185,0.4991822912173319,120.0,2,1.2704340098436528
Built-up  Area,Ready To Move,6,2 BHK,GrrvaGr,-0.2975279224649796,-0.5010828764205185,0.4991822912173319,60.0,2,-0.33849650664334696
Super built-up  Area,Ready To Move,6,2 BHK,JClyner,-0.08702421206140867,-0.5010828764205185,0.4991822912173319,80.0,2,-0.1736669665069652
Super built-up  Area,Ready To Move,6,3 BHK,Solip T,0.3814328155989971,0.46189349974174937,1.765851614814577,200.0,3,1.188391974697834
Super built-up  Area,Ready To Move,6,3 BHK,HMinebo,0.21492783155027093,0.46189349974174937,1.765851614814577,131.0,3,0.35782156190722453
Super built-up  Area,Ready To Move,6,3 BHK,NCierar,-0.039574605208144736,-0.5010828764205185,0.4991822912173319,135.0,3,0.8636760979697056
Super built-up  Area,Ready To Move,6,2 BHK,HMinebo,-0.31823320545549477,-0.5010828764205185,1.765851614814577,75.0,2,0.071954555779575
Super built-up  Area,Ready To Move,6,2 BHK,HMinebo,-0.24231383449027247,-0.5010828764205185,-0.7674870323799133,88.0,2,0.24821492258590613
Built-up  Area,Ready To Move,7,2 BHK,Brnia G,-0.4148578594112322,-0.5010828764205185,0.4991822912173319,72.0,2,0.1852345996742915
Super built-up  Area,Ready To Move,7,2 BHK,BriumMi,-0.25094103573632043,-0.5010828764205185,0.4991822912173319,93.0,2,0.3835978214431568
Built-up  Area,Ready To Move,7,3 BHK,Brnia G,-0.12153301704560063,-0.5010828764205185,-0.7674870323799133,100.0,3,0.2987765902755123
Built-up  Area,Ready To Move,7,3 BHK,Brngsal,0.24943663653446285,0.46189349974174937,-0.7674870323799133,150.0,3,0.6209903473870853
Built-up  Area,Ready To Move,7,2 BHK,Eladero,-0.2725090388514404,-0.5010828764205185,-0.7674870323799133,94.0,2,0.45233187274523584
Super built-up  Area,Ready To Move,7,2 BHK,BriumMi,-0.3328994475737763,-0.5010828764205185,-0.7674870323799133,82.0,2,0.2795710833546675
Super built-up  Area,Ready To Move,7,3 BHK,Brnia G,-0.1387874195376966,-0.5010828764205185,-0.7674870323799133,95.0,3,0.22122335562378542
Super built-up  Area,19-Dec,7,3 BHK,Puarero,0.5729566832612624,0.46189349974174937,-0.7674870323799133,160.0,3,0.343746873069816
Built-up  Area,Ready To Move,7,2 BHK,Brnia G,-0.4407394631493762,-0.5010828764205185,-0.7674870323799133,71.0,2,0.21402560443388657
Super built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.39760345691913623,-0.5010828764205185,-2.0341563559771587,46.0,2,-0.5659488881442406
Built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.5546185195972096,-0.5010828764205185,-0.7674870323799133,50.49,2,-0.16745520863075108
Super built-up  Area,Ready To Move,7,3 BHK,Brsiaen,-0.09565141330745666,-0.5010828764205185,-0.7674870323799133,100.0,3,0.2547301284043491
Super built-up  Area,Ready To Move,7,2 BHK,SrncyRe,-0.4234850606572802,-0.5010828764205185,-0.7674870323799133,42.79,2,-0.6211960621457564
Super built-up  Area,Ready To Move,7,2 BHK,Vasta C,-0.31995864570470434,-0.5010828764205185,-0.7674870323799133,49.98,2,-0.560452423599227
Super built-up  Area,Ready To Move,7,3 BHK,Brnia G,-0.12153301704560063,-0.5010828764205185,0.4991822912173319,96.0,3,0.21362009732459664
Super built-up  Area,Ready To Move,7,3 BHK,Eladero,0.10277421535164706,0.46189349974174937,0.4991822912173319,120.0,3,0.32918962347226804
Super built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.4407394631493762,-0.5010828764205185,-0.7674870323799133,42.0,2,-0.6209135335943772
Super built-up  Area,Ready To Move,7,2 BHK,Brnia G,-0.5011298718717121,-0.5010828764205185,0.4991822912173319,69.0,2,0.29834211837270147
Super built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.45368026501844816,-0.5010828764205185,-0.7674870323799133,41.39,2,-0.6212056162513586
Super built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.16466902327584057,-0.5010828764205185,-0.7674870323799133,56.17,2,-0.5906829785968021
Super built-up  Area,Ready To Move,7,2 BHK,Hiestre,-0.3285858469507523,-0.5010828764205185,0.4991822912173319,72.0,2,0.014440503642793888
Built-up  Area,Ready To Move,7,6 BHK,BriumMi,3.036022639007963,4.313799004390821,0.4991822912173319,450.0,6,0.8477677603823014
Super built-up  Area,Ready To Move,7,3 BHK,GrrvaGr,-0.2250594319981765,-0.5010828764205185,0.4991822912173319,52.0,3,-0.6209135335943772
Built-up  Area,Ready To Move,7,3 BHK,LencyRe,-0.4407394631493762,-0.5010828764205185,-0.7674870323799133,57.0,3,-0.1890484622004476
Super built-up  Area,Ready To Move,7,3 BHK,Vasta C,-0.18796246664017013,-0.5010828764205185,0.4991822912173319,56.41,3,-0.5603623847161368
Super built-up  Area,Ready To Move,7,3 BHK,Vasta C,-0.1344738189146726,-0.5010828764205185,0.4991822912173319,59.01,3,-0.560452423599227
Built-up  Area,Ready To Move,7,3 BHK,Eladero,-0.1387874195376966,0.46189349974174937,-0.7674870323799133,115.0,3,0.653088427017715
Super built-up  Area,Ready To Move,7,2 BHK,SrncyRe,-0.4191714600342562,-0.5010828764205185,-0.7674870323799133,42.99,2,-0.6211947480594708
Super built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.39760345691913623,-0.5010828764205185,0.4991822912173319,44.0,2,-0.6209135335943772
Super built-up  Area,Ready To Move,7,2 BHK,BriumMi,-0.25094103573632043,-0.5010828764205185,-0.7674870323799133,83.0,2,0.14556195532051838
Built-up  Area,Ready To Move,7,4 Bedroom,GrrvaGr,1.5003808172114212,1.4248698759040173,-2.0341563559771587,150.0,4,-0.4560195972439678
Super built-up  Area,19-Dec,7,4 BHK,Puarero,0.8127928779013965,1.4248698759040173,-2.0341563559771587,188.0,4,0.4404772667200045
Super built-up  Area,Ready To Move,7,3 BHK,BriumMi,0.5513886801461424,0.46189349974174937,0.4991822912173319,190.0,3,0.7806849253841033
Super built-up  Area,Ready To Move,7,3 BHK,JDensar,-0.2681954382284164,0.46189349974174937,0.4991822912173319,65.0,3,-0.25814687362347627
Super built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.4407394631493762,-0.5010828764205185,-0.7674870323799133,42.0,2,-0.6209135335943772
Super built-up  Area,Ready To Move,7,3 BHK,Vasta C,-0.1517282214067686,-0.5010828764205185,0.4991822912173319,58.17,3,-0.560452423599227
Super built-up  Area,Ready To Move,7,3 BHK,Eladero,0.01218860226814319,-0.5010828764205185,0.4991822912173319,110.0,3,0.28120461553960907
Super built-up  Area,Ready To Move,7,3 BHK,Brngsal,0.24943663653446285,0.46189349974174937,0.4991822912173319,140.0,3,0.4575819419947875
Super built-up  Area,Ready To Move,7,3 BHK,SrncyRe,-0.16466902327584057,-0.5010828764205185,0.4991822912173319,54.79,3,-0.6211341945797609
Super built-up  Area,Ready To Move,7,3 BHK,GrrvaGr,-0.16466902327584057,-0.5010828764205185,-0.7674870323799133,54.79,3,-0.6211341945797609
Super built-up  Area,Ready To Move,7,3 BHK,GrrvaGr,-0.2250594319981765,-0.5010828764205185,0.4991822912173319,52.0,3,-0.6209135335943772
Built-up  Area,Ready To Move,7,3 BHK,Eladero,0.01218860226814319,-0.5010828764205185,0.4991822912173319,120.0,3,0.4731446472702445
Super built-up  Area,Ready To Move,7,3 BHK,Brngsal,0.24943663653446285,0.46189349974174937,0.4991822912173319,150.0,3,0.6209903473870853
Super built-up  Area,Ready To Move,7,3 BHK,Eladero,0.10277421535164706,0.46189349974174937,0.4991822912173319,120.0,3,0.32918962347226804
Super built-up  Area,Ready To Move,7,2 BHK,BriumMi,-0.3328994475737763,-0.5010828764205185,0.4991822912173319,82.5,2,0.29243514931108244
Built-up  Area,Ready To Move,7,3 Bedroom,GrrvaGr,1.5003808172114212,1.4248698759040173,1.765851614814577,160.0,3,-0.36441185482707367
Plot  Area,Ready To Move,7,3 Bedroom,GrrvaGr,0.5513886801461424,1.4248698759040173,0.4991822912173319,105.0,3,-0.387313790431297
Super built-up  Area,Ready To Move,7,2 BHK,BriumMi,-0.29839064258958437,-0.5010828764205185,0.4991822912173319,90.0,2,0.40916463669336617
Super built-up  Area,Ready To Move,7,2 BHK,Brnia G,-0.4407394631493762,-0.5010828764205185,-0.7674870323799133,75.0,2,0.32918962347226804
Super built-up  Area,Ready To Move,7,3 BHK,Axdam V,-0.2250594319981765,0.46189349974174937,0.4991822912173319,89.13,3,0.24251762568251686
Super built-up  Area,Ready To Move,7,2 BHK,Brnia G,-0.37172185318099227,-0.5010828764205185,0.4991822912173319,73.0,2,0.12281162475304497
Super built-up  Area,Ready To Move,7,3 BHK,BriumMi,-0.09565141330745666,0.46189349974174937,0.4991822912173319,100.0,3,0.2547301284043491
Super built-up  Area,Ready To Move,7,3 BHK,GrrvaGr,-0.18192342576793655,0.46189349974174937,0.4991822912173319,58.0,3,-0.5313415187867472
Super built-up  Area,Ready To Move,7,2 BHK,Srayai ,-0.4407394631493762,-0.5010828764205185,-0.7674870323799133,50.0,2,-0.39058549551761484
Super built-up  Area,Ready To Move,7,2 BHK,BriumMi,-0.24662743511329646,-0.5010828764205185,-0.7674870323799133,87.0,2,0.23265507810186029
Built-up  Area,Ready To Move,7,3 BHK,Kaiew L,-0.08702421206140867,0.46189349974174937,-0.7674870323799133,70.0,3,-0.3807255623807671
Super built-up  Area,Ready To Move,7,3 BHK,Eladero,0.0768926116135031,0.46189349974174937,0.4991822912173319,110.0,3,0.1852345996742915
Built-up  Area,Ready To Move,7,2 BHK,Prhna S,-0.613283488070336,-0.5010828764205185,0.4991822912173319,42.0,2,-0.33639066302896475
Built-up  Area,Ready To Move,7,3 BHK,Eladero,0.10277421535164706,0.46189349974174937,0.4991822912173319,117.0,3,0.27520648954802684
Super built-up  Area,Ready To Move,7,3 BHK,Brngsal,0.24943663653446285,0.46189349974174937,-0.7674870323799133,150.0,3,0.6209903473870853
Super built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.28027351997288363,-0.5010828764205185,0.4991822912173319,61.33,2,-0.3301034211986104
Super built-up  Area,Ready To Move,7,2 BHK,Hiestre,-0.4838754693796161,-0.5010828764205185,0.4991822912173319,53.0,2,-0.22791631862590123
Super built-up  Area,Ready To Move,7,3 BHK,Eladero,0.10277421535164706,0.46189349974174937,0.4991822912173319,125.0,3,0.4191615133460034
Super built-up  Area,Ready To Move,7,3 BHK,Eladero,0.09846061472862307,-0.5010828764205185,0.4991822912173319,135.0,3,0.6063567588444914
Super built-up  Area,19-Jan,7,2 BHK,GrrvaGr,-0.32254680607851877,-0.5010828764205185,-0.7674870323799133,59.0,2,-0.32752179511749024
Super built-up  Area,Ready To Move,7,3 BHK,Brngsal,0.24943663653446285,0.46189349974174937,0.4991822912173319,155.0,3,0.702694550083234
Built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.4838754693796161,-0.5010828764205185,-0.7674870323799133,61.0,2,0.013928121354699344
Super built-up  Area,Ready To Move,7,3 BHK,Brnia G,-0.08702421206140867,-0.5010828764205185,0.4991822912173319,100.0,3,0.24045022524063855
Super built-up  Area,Ready To Move,7,3 BHK,Brnia G,0.0768926116135031,0.46189349974174937,1.765851614814577,110.0,3,0.1852345996742915
Super built-up  Area,Ready To Move,7,2 BHK,Hiestre,-0.31133144445865635,-0.5010828764205185,0.4991822912173319,62.5,2,-0.2556276607070118
Super built-up  Area,Ready To Move,7,2 BHK,Axdam V,-0.4838754693796161,-0.5010828764205185,-0.7674870323799133,70.65,2,0.30565297708129907
Super built-up  Area,18-Aug,7,2 BHK,GrrvaGr,-0.4234850606572802,-0.5010828764205185,0.4991822912173319,42.0,2,-0.6435158177047137
Super built-up  Area,Ready To Move,7,2 BHK,Brnia G,-0.4148578594112322,-0.5010828764205185,0.4991822912173319,75.0,2,0.26920836355644434
Built-up  Area,Ready To Move,7,3 BHK,Kaiew L,-0.12584661766862462,0.46189349974174937,-0.7674870323799133,65.0,3,-0.4414529950928714
Super built-up  Area,Ready To Move,7,3 BHK,Eladero,0.10277421535164706,0.46189349974174937,1.765851614814577,125.0,3,0.4191615133460034
Super built-up  Area,Ready To Move,7,2 BHK,SrncyRe,-0.44936666439542416,-0.5010828764205185,-0.7674870323799133,41.59,2,-0.6212042120078153
Super built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.39760345691913623,-0.5010828764205185,-0.7674870323799133,44.0,2,-0.6209135335943772
Super built-up  Area,Ready To Move,7,3 BHK,Brnia G,-0.08702421206140867,-0.5010828764205185,-0.7674870323799133,97.0,3,0.17833264647849792
Built-up  Area,Ready To Move,7,2 BHK,GrrvaGr,-0.38034905442704026,-0.5010828764205185,0.4991822912173319,65.0,2,-0.07568388095954108
Super built-up  Area,Ready To Move,7,2 BHK,Panorse,-0.39760345691913623,0.46189349974174937,-0.7674870323799133,60.0,2,-0.1811963699932851
Super built-up  Area,Ready To Move,7,3 BHK,Eladero,0.19767342905817495,0.46189349974174937,1.765851614814577,120.0,3,0.19649365181491532
Super built-up  Area,Ready To Move,7,3 BHK,Eladero,0.10277421535164706,0.46189349974174937,0.4991822912173319,117.0,3,0.27520648954802684
Super built-up  Area,Ready To Move,7,2 BHK,Brnia G,-0.4407394631493762,-0.5010828764205185,-0.7674870323799133,77.0,2,0.38677163299145845
Super built-up  Area,Ready To Move,7,2 BHK,Shncyes,-0.33376216769838113,-0.5010828764205185,-0.7674870323799133,47.0,2,-0.6198835317205246
Super built-up  Area,Ready To Move,7,2 BHK,Brnia G,-0.4407394631493762,-0.5010828764205185,-0.7674870323799133,75.0,2,0.32918962347226804
Super built-up  Area,Ready To Move,7,2 BHK,Brnia G,-0.44936666439542416,-0.5010828764205185,-0.7674870323799133,75.0,2,0.3499523672892839
Super built-up  Area,Ready To Move,7,3 BHK,Brnia G,-0.1387874195376966,-0.5010828764205185,-0.7674870323799133,95.0,3,0.22122335562378542
Super built-up  Area,Ready To Move,7,3 BHK,BriumMi,0.20630063030422294,0.46189349974174937,0.4991822912173319,130.0,3,0.3531821274385975
